id,name,type,sub_type,total_score,hp,attack,defense,sp_attack,sp_defense,speed,generation,legendary
364,Sealeo,ice,water,410,90,60,70,75,70,45,3,False
365,Walrein,ice,water,530,110,80,90,95,90,65,3,False
366,Clamperl,water,,345,35,64,85,74,55,32,3,False
367,Huntail,water,,485,55,104,105,94,75,52,3,False
368,Gorebyss,water,,485,55,84,105,114,75,52,3,False
369,Relicanth,water,rock,485,100,90,130,45,65,55,3,False
370,Luvdisc,water,,330,43,30,55,40,65,97,3,False
371,Bagon,dragon,,300,45,75,60,40,30,50,3,False
372,Shelgon,dragon,,420,65,95,100,60,50,50,3,False
373,Salamence,dragon,flying,600,95,135,80,110,80,100,3,False
374,Beldum,steel,psychic,300,40,55,80,35,60,30,3,False
375,Metang,steel,psychic,420,60,75,100,55,80,50,3,False
376,Metagross,steel,psychic,600,80,135,130,95,90,70,3,False
377,Regirock,rock,,580,80,100,200,50,100,50,3,True
378,Regice,ice,,580,80,50,100,100,200,50,3,True
379,Registeel,steel,,580,80,75,150,75,150,50,3,True
380,Latias,dragon,psychic,600,80,80,90,110,130,110,3,True
381,Latios,dragon,psychic,600,80,90,80,130,110,110,3,True
382,Kyogre,water,,670,100,100,90,150,140,90,3,True
383,Groudon,ground,,670,100,150,140,100,90,90,3,True
384,Rayquaza,dragon,flying,680,105,150,90,150,90,95,3,True
385,Jirachi,steel,psychic,600,100,100,100,100,100,100,3,True
386,Deoxys,psychic,,600,50,150,50,150,50,150,3,True
387,Turtwig,grass,,318,55,68,64,45,55,31,4,False
388,Grotle,grass,,405,75,89,85,55,65,36,4,False
389,Torterra,grass,ground,525,95,109,105,75,85,56,4,False
390,Chimchar,fire,,309,44,58,44,58,44,61,4,False
391,Monferno,fire,fighting,405,64,78,52,78,52,81,4,False
392,Infernape,fire,fighting,534,76,104,71,104,71,108,4,False
393,Piplup,water,,314,53,51,53,61,56,40,4,False
394,Prinplup,water,,405,64,66,68,81,76,50,4,False
395,Empoleon,water,steel,530,84,86,88,111,101,60,4,False
396,Starly,normal,flying,245,40,55,30,30,30,60,4,False
397,Staravia,normal,flying,340,55,75,50,40,40,80,4,False
398,Staraptor,normal,flying,485,85,120,70,50,60,100,4,False
399,Bidoof,normal,,250,59,45,40,35,40,31,4,False
400,Bibarel,normal,water,410,79,85,60,55,60,71,4,False
401,Kricketot,bug,,194,37,25,41,25,41,25,4,False
402,Kricketune,bug,,384,77,85,51,55,51,65,4,False
403,Shinx,electric,,263,45,65,34,40,34,45,4,False
404,Luxio,electric,,363,60,85,49,60,49,60,4,False
405,Luxray,electric,,523,80,120,79,95,79,70,4,False
406,Budew,grass,poison,280,40,30,35,50,70,55,4,False
407,Roserade,grass,poison,515,60,70,65,125,105,90,4,False
408,Cranidos,rock,,350,67,125,40,30,30,58,4,False
409,Rampardos,rock,,495,97,165,60,65,50,58,4,False
410,Shieldon,rock,steel,350,30,42,118,42,88,30,4,False
411,Bastiodon,rock,steel,495,60,52,168,47,138,30,4,False
412,Burmy,bug,,224,40,29,45,29,45,36,4,False
413,Wormadam,bug,grass,424,60,59,85,79,105,36,4,False
414,Mothim,bug,flying,424,70,94,50,94,50,66,4,False
415,Combee,bug,flying,244,30,30,42,30,42,70,4,False
416,Vespiquen,bug,flying,474,70,80,102,80,102,40,4,False
417,Pachirisu,electric,,405,60,45,70,45,90,95,4,False
418,Buizel,water,,330,55,65,35,60,30,85,4,False
419,Floatzel,water,,495,85,105,55,85,50,115,4,False
420,Cherubi,grass,,275,45,35,45,62,53,35,4,False
421,Cherrim,grass,,450,70,60,70,87,78,85,4,False
422,Shellos,water,,325,76,48,48,57,62,34,4,False
423,Gastrodon,water,ground,475,111,83,68,92,82,39,4,False
424,Ambipom,normal,,482,75,100,66,60,66,115,4,False
425,Drifloon,ghost,flying,348,90,50,34,60,44,70,4,False
426,Drifblim,ghost,flying,498,150,80,44,90,54,80,4,False
427,Buneary,normal,,350,55,66,44,44,56,85,4,False
428,Lopunny,normal,,480,65,76,84,54,96,105,4,False
429,Mismagius,ghost,,495,60,60,60,105,105,105,4,False
430,Honchkrow,dark,flying,505,100,125,52,105,52,71,4,False
431,Glameow,normal,,310,49,55,42,42,37,85,4,False
432,Purugly,normal,,452,71,82,64,64,59,112,4,False
433,Chingling,psychic,,285,45,30,50,65,50,45,4,False
434,Stunky,poison,dark,329,63,63,47,41,41,74,4,False
435,Skuntank,poison,dark,479,103,93,67,71,61,84,4,False
436,Bronzor,steel,psychic,300,57,24,86,24,86,23,4,False
437,Bronzong,steel,psychic,500,67,89,116,79,116,33,4,False
438,Bonsly,rock,,290,50,80,95,10,45,10,4,False
439,Mime Jr.,psychic,fairy,310,20,25,45,70,90,60,4,False
440,Happiny,normal,,220,100,5,5,15,65,30,4,False
441,Chatot,normal,flying,411,76,65,45,92,42,91,4,False
442,Spiritomb,ghost,dark,485,50,92,108,92,108,35,4,False
443,Gible,dragon,ground,300,58,70,45,40,45,42,4,False
444,Gabite,dragon,ground,410,68,90,65,50,55,82,4,False
445,Garchomp,dragon,ground,600,108,130,95,80,85,102,4,False
446,Munchlax,normal,,390,135,85,40,40,85,5,4,False
447,Riolu,fighting,,285,40,70,40,35,40,60,4,False
448,Lucario,fighting,steel,525,70,110,70,115,70,90,4,False
449,Hippopotas,ground,,330,68,72,78,38,42,32,4,False
450,Hippowdon,ground,,525,108,112,118,68,72,47,4,False
451,Skorupi,poison,bug,330,40,50,90,30,55,65,4,False
452,Drapion,poison,dark,500,70,90,110,60,75,95,4,False
453,Croagunk,poison,fighting,300,48,61,40,61,40,50,4,False
454,Toxicroak,poison,fighting,490,83,106,65,86,65,85,4,False
455,Carnivine,grass,,454,74,100,72,90,72,46,4,False
456,Finneon,water,,330,49,49,56,49,61,66,4,False
457,Lumineon,water,,460,69,69,76,69,86,91,4,False
458,Mantyke,water,flying,345,45,20,50,60,120,50,4,False
459,Snover,grass,ice,334,60,62,50,62,60,40,4,False
460,Abomasnow,grass,ice,494,90,92,75,92,85,60,4,False
461,Weavile,dark,ice,510,70,120,65,45,85,125,4,False
462,Magnezone,electric,steel,535,70,70,115,130,90,60,4,False
463,Lickilicky,normal,,515,110,85,95,80,95,50,4,False
464,Rhyperior,ground,rock,535,115,140,130,55,55,40,4,False
465,Tangrowth,grass,,535,100,100,125,110,50,50,4,False
466,Electivire,electric,,540,75,123,67,95,85,95,4,False
467,Magmortar,fire,,540,75,95,67,125,95,83,4,False
468,Togekiss,fairy,flying,545,85,50,95,120,115,80,4,False
469,Yanmega,bug,flying,515,86,76,86,116,56,95,4,False
470,Leafeon,grass,,525,65,110,130,60,65,95,4,False
471,Glaceon,ice,,525,65,60,110,130,95,65,4,False
472,Gliscor,ground,flying,510,75,95,125,45,75,95,4,False
473,Mamoswine,ice,ground,530,110,130,80,70,60,80,4,False
474,Porygon-Z,normal,,535,85,80,70,135,75,90,4,False
475,Gallade,psychic,fighting,518,68,125,65,65,115,80,4,False
476,Probopass,rock,steel,525,60,55,145,75,150,40,4,False
477,Dusknoir,ghost,,525,45,100,135,65,135,45,4,False
478,Froslass,ice,ghost,480,70,80,70,80,70,110,4,False
479,Rotom,electric,ghost,440,50,50,77,95,77,91,4,False
480,Uxie,psychic,,580,75,75,130,75,130,95,4,True
481,Mesprit,psychic,,580,80,105,105,105,105,80,4,True
482,Azelf,psychic,,580,75,125,70,125,70,115,4,True
483,Dialga,steel,dragon,680,100,120,120,150,100,90,4,True
484,Palkia,water,dragon,680,90,120,100,150,120,100,4,True
485,Heatran,fire,steel,600,91,90,106,130,106,77,4,True
486,Regigigas,normal,,670,110,160,110,80,110,100,4,True
487,Giratina,ghost,dragon,680,150,120,100,120,100,90,4,True
488,Cresselia,psychic,,600,120,70,120,75,130,85,4,False
489,Phione,water,,480,80,80,80,80,80,80,4,False
490,Manaphy,water,,600,100,100,100,100,100,100,4,False
491,darkrai,dark,,600,70,90,90,135,90,125,4,True
492,Shaymin,grass,flying,600,100,103,75,120,75,127,4,True
493,Arceus,normal,,720,120,120,120,120,120,120,4,True
494,Victini,psychic,fire,600,100,100,100,100,100,100,5,True
495,Snivy,grass,,308,45,45,55,45,55,63,5,False
496,Servine,grass,,413,60,60,75,60,75,83,5,False
497,Serperior,grass,,528,75,75,95,75,95,113,5,False
498,Tepig,fire,,308,65,63,45,45,45,45,5,False
499,Pignite,fire,fighting,418,90,93,55,70,55,55,5,False
500,Emboar,fire,fighting,528,110,123,65,100,65,65,5,False
501,Oshawott,water,,308,55,55,45,63,45,45,5,False
502,Dewott,water,,413,75,75,60,83,60,60,5,False
503,Samurott,water,,528,95,100,85,108,70,70,5,False
504,Patrat,normal,,255,45,55,39,35,39,42,5,False
505,Watchog,normal,,420,60,85,69,60,69,77,5,False
506,Lillipup,normal,,275,45,60,45,25,45,55,5,False
507,Herdier,normal,,370,65,80,65,35,65,60,5,False
508,Stoutland,normal,,500,85,110,90,45,90,80,5,False
509,Purrloin,dark,,281,41,50,37,50,37,66,5,False
510,Liepard,dark,,446,64,88,50,88,50,106,5,False
511,Pansage,grass,,316,50,53,48,53,48,64,5,False
512,Simisage,grass,,498,75,98,63,98,63,101,5,False
513,Pansear,fire,,316,50,53,48,53,48,64,5,False
514,Simisear,fire,,498,75,98,63,98,63,101,5,False
515,Panpour,water,,316,50,53,48,53,48,64,5,False
516,Simipour,water,,498,75,98,63,98,63,101,5,False
517,Munna,psychic,,292,76,25,45,67,55,24,5,False
518,Musharna,psychic,,487,116,55,85,107,95,29,5,False
519,Pidove,normal,flying,264,50,55,50,36,30,43,5,False
520,Tranquill,normal,flying,358,62,77,62,50,42,65,5,False
521,Unfezant,normal,flying,488,80,115,80,65,55,93,5,False
522,Blitzle,electric,,295,45,60,32,50,32,76,5,False
523,Zebstrika,electric,,497,75,100,63,80,63,116,5,False
524,Roggenrola,rock,,280,55,75,85,25,25,15,5,False
525,Boldore,rock,,390,70,105,105,50,40,20,5,False
526,Gigalith,rock,,515,85,135,130,60,80,25,5,False
527,Woobat,psychic,flying,313,55,45,43,55,43,72,5,False
528,Swoobat,psychic,flying,425,67,57,55,77,55,114,5,False
529,Drilbur,ground,,328,60,85,40,30,45,68,5,False
530,Excadrill,ground,steel,508,110,135,60,50,65,88,5,False
531,Audino,normal,,445,103,60,86,60,86,50,5,False
532,Timburr,fighting,,305,75,80,55,25,35,35,5,False
533,Gurdurr,fighting,,405,85,105,85,40,50,40,5,False
534,Conkeldurr,fighting,,505,105,140,95,55,65,45,5,False
535,Tympole,water,,294,50,50,40,50,40,64,5,False
536,Palpitoad,water,ground,384,75,65,55,65,55,69,5,False
537,Seismitoad,water,ground,509,105,95,75,85,75,74,5,False
538,Throh,fighting,,465,120,100,85,30,85,45,5,False
539,Sawk,fighting,,465,75,125,75,30,75,85,5,False
540,Sewaddle,bug,grass,310,45,53,70,40,60,42,5,False
541,Swadloon,bug,grass,380,55,63,90,50,80,42,5,False
542,Leavanny,bug,grass,500,75,103,80,70,80,92,5,False
543,Venipede,bug,poison,260,30,45,59,30,39,57,5,False
544,Whirlipede,bug,poison,360,40,55,99,40,79,47,5,False
545,Scolipede,bug,poison,485,60,100,89,55,69,112,5,False
546,Cottonee,grass,fairy,280,40,27,60,37,50,66,5,False
547,Whimsicott,grass,fairy,480,60,67,85,77,75,116,5,False
548,Petilil,grass,,280,45,35,50,70,50,30,5,False
549,Lilligant,grass,,480,70,60,75,110,75,90,5,False
550,Basculin,water,,460,70,92,65,80,55,98,5,False
551,Sandile,ground,dark,292,50,72,35,35,35,65,5,False
552,Krokorok,ground,dark,351,60,82,45,45,45,74,5,False
553,Krookodile,ground,dark,519,95,117,80,65,70,92,5,False
554,Darumaka,fire,,315,70,90,45,15,45,50,5,False
555,Darmanitan,fire,psychic,540,105,30,105,140,105,55,5,False
556,Maractus,grass,,461,75,86,67,106,67,60,5,False
557,Dwebble,bug,rock,325,50,65,85,35,35,55,5,False
558,Crustle,bug,rock,475,70,95,125,65,75,45,5,False
559,Scraggy,dark,fighting,348,50,75,70,35,70,48,5,False
560,Scrafty,dark,fighting,488,65,90,115,45,115,58,5,False
561,Sigilyph,psychic,flying,490,72,58,80,103,80,97,5,False
562,Yamask,ghost,,303,38,30,85,55,65,30,5,False
563,Cofagrigus,ghost,,483,58,50,145,95,105,30,5,False
564,Tirtouga,water,rock,355,54,78,103,53,45,22,5,False
565,Carracosta,water,rock,495,74,108,133,83,65,32,5,False
566,Archen,rock,flying,401,55,112,45,74,45,70,5,False
567,Archeops,rock,flying,567,75,140,65,112,65,110,5,False
568,Trubbish,poison,,329,50,50,62,40,62,65,5,False
569,Garbodor,poison,,474,80,95,82,60,82,75,5,False
570,Zorua,dark,,330,40,65,40,80,40,65,5,False
571,Zoroark,dark,,510,60,105,60,120,60,105,5,False
572,Minccino,normal,,300,55,50,40,40,40,75,5,False
573,Cinccino,normal,,470,75,95,60,65,60,115,5,False
574,Gothita,psychic,,290,45,30,50,55,65,45,5,False
575,Gothorita,psychic,,390,60,45,70,75,85,55,5,False
576,Gothitelle,psychic,,490,70,55,95,95,110,65,5,False
577,Solosis,psychic,,290,45,30,40,105,50,20,5,False
578,Duosion,psychic,,370,65,40,50,125,60,30,5,False
579,Reuniclus,psychic,,490,110,65,75,125,85,30,5,False
580,Ducklett,water,flying,305,62,44,50,44,50,55,5,False
581,Swanna,water,flying,473,75,87,63,87,63,98,5,False
582,Vanillite,ice,,305,36,50,50,65,60,44,5,False
583,Vanillish,ice,,395,51,65,65,80,75,59,5,False
584,Vanilluxe,ice,,535,71,95,85,110,95,79,5,False
585,Deerling,normal,grass,335,60,60,50,40,50,75,5,False
586,Sawsbuck,normal,grass,475,80,100,70,60,70,95,5,False
587,Emolga,electric,flying,428,55,75,60,75,60,103,5,False
588,Karrablast,bug,,315,50,75,45,40,45,60,5,False
589,Escavalier,bug,steel,495,70,135,105,60,105,20,5,False
590,Foongus,grass,poison,294,69,55,45,55,55,15,5,False
591,Amoonguss,grass,poison,464,114,85,70,85,80,30,5,False
592,Frillish,water,ghost,335,55,40,50,65,85,40,5,False
593,Jellicent,water,ghost,480,100,60,70,85,105,60,5,False
594,Alomomola,water,,470,165,75,80,40,45,65,5,False
595,Joltik,bug,electric,319,50,47,50,57,50,65,5,False
596,Galvantula,bug,electric,472,70,77,60,97,60,108,5,False
597,Ferroseed,grass,steel,305,44,50,91,24,86,10,5,False
598,Ferrothorn,grass,steel,489,74,94,131,54,116,20,5,False
599,Klink,steel,,300,40,55,70,45,60,30,5,False
600,Klang,steel,,440,60,80,95,70,85,50,5,False
601,Klinklang,steel,,520,60,100,115,70,85,90,5,False
602,Tynamo,electric,,275,35,55,40,45,40,60,5,False
603,Eelektrik,electric,,405,65,85,70,75,70,40,5,False
604,Eelektross,electric,,515,85,115,80,105,80,50,5,False
605,Elgyem,psychic,,335,55,55,55,85,55,30,5,False
606,Beheeyem,psychic,,485,75,75,75,125,95,40,5,False
607,Litwick,ghost,fire,275,50,30,55,65,55,20,5,False
608,Lampent,ghost,fire,370,60,40,60,95,60,55,5,False
609,Chandelure,ghost,fire,520,60,55,90,145,90,80,5,False
610,Axew,dragon,,320,46,87,60,30,40,57,5,False
611,Fraxure,dragon,,410,66,117,70,40,50,67,5,False
612,Haxorus,dragon,,540,76,147,90,60,70,97,5,False
613,Cubchoo,ice,,305,55,70,40,60,40,40,5,False
614,Beartic,ice,,485,95,110,80,70,80,50,5,False
615,Cryogonal,ice,,485,70,50,30,95,135,105,5,False
616,Shelmet,bug,,305,50,40,85,40,65,25,5,False
617,Accelgor,bug,,495,80,70,40,100,60,145,5,False
618,Stunfisk,ground,electric,471,109,66,84,81,99,32,5,False
619,Mienfoo,fighting,,350,45,85,50,55,50,65,5,False
620,Mienshao,fighting,,510,65,125,60,95,60,105,5,False
621,Druddigon,dragon,,485,77,120,90,60,90,48,5,False
622,Golett,ground,ghost,303,59,74,50,35,50,35,5,False
623,Golurk,ground,ghost,483,89,124,80,55,80,55,5,False
624,Pawniard,dark,steel,340,45,85,70,40,40,60,5,False
625,Bisharp,dark,steel,490,65,125,100,60,70,70,5,False
626,Bouffalant,normal,,490,95,110,95,40,95,55,5,False
627,Rufflet,normal,flying,350,70,83,50,37,50,60,5,False
628,Braviary,normal,flying,510,100,123,75,57,75,80,5,False
629,Vullaby,dark,flying,370,70,55,75,45,65,60,5,False
630,Mandibuzz,dark,flying,510,110,65,105,55,95,80,5,False
631,Heatmor,fire,,484,85,97,66,105,66,65,5,False
632,Durant,bug,steel,484,58,109,112,48,48,109,5,False
633,Deino,dark,dragon,300,52,65,50,45,50,38,5,False
634,Zweilous,dark,dragon,420,72,85,70,65,70,58,5,False
635,Hydreigon,dark,dragon,600,92,105,90,125,90,98,5,False
636,Larvesta,bug,fire,360,55,85,55,50,55,60,5,False
637,Volcarona,bug,fire,550,85,60,65,135,105,100,5,False
638,Cobalion,steel,fighting,580,91,90,129,90,72,108,5,True
639,Terrakion,rock,fighting,580,91,129,90,72,90,108,5,True
640,Virizion,grass,fighting,580,91,90,72,90,129,108,5,True
641,Tornadus,flying,,580,79,115,70,125,80,111,5,True
642,Thundurus,electric,flying,580,79,115,70,125,80,111,5,True
643,Reshiram,dragon,fire,680,100,120,100,150,120,90,5,True
644,Zekrom,dragon,electric,680,100,150,120,120,100,90,5,True
645,Landorus,ground,flying,600,89,125,90,115,80,101,5,True
646,Kyurem,dragon,ice,660,125,130,90,130,90,95,5,True
647,Keldeo,water,fighting,580,91,72,90,129,90,108,5,False
648,Meloetta,normal,psychic,600,100,77,77,128,128,90,5,False
649,Genesect,bug,steel,600,71,120,95,120,95,99,5,False
650,Chespin,grass,,313,56,61,65,48,45,38,6,False
651,Quilladin,grass,,405,61,78,95,56,58,57,6,False
652,Chesnaught,grass,fighting,530,88,107,122,74,75,64,6,False
653,Fennekin,fire,,307,40,45,40,62,60,60,6,False
654,Braixen,fire,,409,59,59,58,90,70,73,6,False
655,Delphox,fire,psychic,534,75,69,72,114,100,104,6,False
656,Froakie,water,,314,41,56,40,62,44,71,6,False
657,Frogadier,water,,405,54,63,52,83,56,97,6,False
658,Greninja,water,dark,530,72,95,67,103,71,122,6,False
659,Bunnelby,normal,,237,38,36,38,32,36,57,6,False
660,Diggersby,normal,ground,423,85,56,77,50,77,78,6,False
661,Fletchling,normal,flying,278,45,50,43,40,38,62,6,False
662,Fletchinder,fire,flying,382,62,73,55,56,52,84,6,False
663,Talonflame,fire,flying,499,78,81,71,74,69,126,6,False
664,Scatterbug,bug,,200,38,35,40,27,25,35,6,False
665,Spewpa,bug,,213,45,22,60,27,30,29,6,False
666,Vivillon,bug,flying,411,80,52,50,90,50,89,6,False
667,Litleo,fire,normal,369,62,50,58,73,54,72,6,False
668,Pyroar,fire,normal,507,86,68,72,109,66,106,6,False
669,Flabébé,fairy,,303,44,38,39,61,79,42,6,False
670,Floette,fairy,,371,54,45,47,75,98,52,6,False
671,Florges,fairy,,552,78,65,68,112,154,75,6,False
672,Skiddo,grass,,350,66,65,48,62,57,52,6,False
673,Gogoat,grass,,531,123,100,62,97,81,68,6,False
674,Pancham,fighting,,348,67,82,62,46,48,43,6,False
675,Pangoro,fighting,dark,495,95,124,78,69,71,58,6,False
676,Furfrou,normal,,472,75,80,60,65,90,102,6,False
677,Espurr,psychic,,355,62,48,54,63,60,68,6,False
678,Meowstic,psychic,,466,74,48,76,83,81,104,6,False
679,Honedge,steel,ghost,325,45,80,100,35,37,28,6,False
680,Doublade,steel,ghost,448,59,110,150,45,49,35,6,False
681,Aegislash,steel,ghost,520,60,150,50,150,50,60,6,False
682,Spritzee,fairy,,341,78,52,60,63,65,23,6,False
683,Aromatisse,fairy,,462,101,72,72,99,89,29,6,False
684,Swirlix,fairy,,341,62,48,66,59,57,49,6,False
685,Slurpuff,fairy,,480,82,80,86,85,75,72,6,False
686,Inkay,dark,psychic,288,53,54,53,37,46,45,6,False
687,Malamar,dark,psychic,482,86,92,88,68,75,73,6,False
688,Binacle,rock,water,306,42,52,67,39,56,50,6,False
689,Barbaracle,rock,water,500,72,105,115,54,86,68,6,False
690,Skrelp,poison,water,320,50,60,60,60,60,30,6,False
691,Dragalge,poison,dragon,494,65,75,90,97,123,44,6,False
692,Clauncher,water,,330,50,53,62,58,63,44,6,False
693,Clawitzer,water,,500,71,73,88,120,89,59,6,False
694,Helioptile,electric,normal,289,44,38,33,61,43,70,6,False
695,Heliolisk,electric,normal,481,62,55,52,109,94,109,6,False
696,Tyrunt,rock,dragon,362,58,89,77,45,45,48,6,False
697,Tyrantrum,rock,dragon,521,82,121,119,69,59,71,6,False
698,Amaura,rock,ice,362,77,59,50,67,63,46,6,False
699,Aurorus,rock,ice,521,123,77,72,99,92,58,6,False
700,Sylveon,fairy,,525,95,65,65,110,130,60,6,False
701,Hawlucha,fighting,flying,500,78,92,75,74,63,118,6,False
702,Dedenne,electric,fairy,431,67,58,57,81,67,101,6,False
703,Carbink,rock,fairy,500,50,50,150,50,150,50,6,False
704,Goomy,dragon,,300,45,50,35,55,75,40,6,False
705,Sliggoo,dragon,,452,68,75,53,83,113,60,6,False
706,Goodra,dragon,,600,90,100,70,110,150,80,6,False
707,Klefki,steel,fairy,470,57,80,91,80,87,75,6,False
708,Phantump,ghost,grass,309,43,70,48,50,60,38,6,False
709,Trevenant,ghost,grass,474,85,110,76,65,82,56,6,False
710,Pumpkaboo,ghost,grass,335,59,66,70,44,55,41,6,False
711,Gourgeist,ghost,grass,494,85,100,122,58,75,54,6,False
712,Bergmite,ice,,304,55,69,85,32,35,28,6,False
713,Avalugg,ice,,514,95,117,184,44,46,28,6,False
714,Noibat,flying,dragon,245,40,30,35,45,40,55,6,False
715,Noivern,flying,dragon,535,85,70,80,97,80,123,6,False
716,Xerneas,fairy,,680,126,131,95,131,98,99,6,True
717,Yveltal,dark,flying,680,126,131,95,131,98,99,6,True
718,Zygarde,dragon,ground,600,108,100,121,81,95,95,6,True
719,Diancie,rock,fairy,600,50,100,150,100,150,50,6,True
720,Hoopa,psychic,dark,680,80,160,60,170,130,80,6,True
721,Volcanion,fire,water,600,80,110,120,130,90,70,6,True